epoch,train_loss,train_acc,epoch_time_s,val_loss,val_top1,val_top5,ema_val_loss,ema_val_top1,ema_val_top5,lr
0,4.820802071264812,0.2410249263048172,1212.6,2.1090290678981924,0.6551867127418518,0.9311203360557556,6.343097953084099,0.008298755623400211,0.026141079142689705,0.00015
1,2.778965578547546,0.4750744104385376,695.6,1.766849908591306,0.7186722159385681,0.9605808854103088,6.112873440659392,0.023651452735066414,0.06887967139482498,0.0003
2,2.545104776819547,0.5376673936843872,384.1,1.5808881597400206,0.7958506345748901,0.9713692665100098,5.781892150071647,0.09211618453264236,0.23360995948314667,0.0002990718070670947
3,2.360437977526869,0.573846697807312,381.1,1.5904242693635933,0.7929460406303406,0.9643153548240662,5.381629261634162,0.2921161949634552,0.5531120300292969,0.0002962878213166157
4,2.252942204475403,0.6139788031578064,379.7,1.5365682633585949,0.8136929273605347,0.9767634868621826,4.942424766651327,0.5431535243988037,0.819502055644989,0.0002916830447052296
5,2.1681520412010804,0.6387183666229248,379.8,1.5259086792894418,0.8224066495895386,0.9738588929176331,4.482720312142273,0.6767634749412537,0.9269709587097168,0.000285315384970578
6,2.075831634302934,0.6502976417541504,379.5,1.453638573405159,0.8373444080352783,0.9800829887390137,4.028147769073233,0.7518672347068787,0.9651452302932739,0.00027726491912842663
7,1.96608274075247,0.6733630895614624,379.7,1.438542075473738,0.8431535363197327,0.9804978966712952,3.6023408984742225,0.7975103855133057,0.9804978966712952,0.0002676328864577295
8,1.9533003653798784,0.6780598759651184,379.6,1.4674477634588219,0.836929440498352,0.9788381457328796,3.208944024683529,0.8323651552200317,0.9875518679618835,0.0002565404153579562
9,1.925869178559099,0.6846168041229248,379.9,1.4309260121024991,0.8506224155426025,0.9838173985481262,2.8513851142028557,0.8551867008209229,0.9896265268325806,0.00024412700008918795
10,1.8462933798631032,0.7006138563156128,379.9,1.4556208767831573,0.848962664604187,0.9792531132698059,2.5448499010806263,0.8713693022727966,0.9917012453079224,0.00023054874655086091
11,1.823018385186082,0.711542010307312,379.7,1.4035941804593035,0.8659750819206238,0.9788381457328796,2.2805821422719363,0.8788381814956665,0.9917012453079224,0.00021597640915950575
12,1.740716213626521,0.7167503833770752,379.9,1.3928011017716277,0.8697095513343811,0.9809128642082214,2.061433921513221,0.8904564380645752,0.9925311207771301,0.0002005932435128858
13,1.733354999728146,0.7188895344734192,379.9,1.37073575827096,0.8746888041496277,0.984647274017334,1.881791114807129,0.896680474281311,0.9946057796478271,0.0001845927018445279
14,1.711174022938524,0.735537588596344,380.7,1.3603988018273319,0.8784232139587402,0.9867219924926758,1.736906195280463,0.9024896025657654,0.9941908717155457,0.00016817600024964224
15,1.6395124473742075,0.7553013563156128,379.7,1.3615449003164204,0.8829875588417053,0.9821576476097107,1.6202587345329063,0.9049792289733887,0.9941908717155457,0.00015154958827597658
16,1.6453096573906285,0.7430710792541504,379.6,1.353632585636313,0.8817427158355713,0.984647274017334,1.5284244240566902,0.9066389799118042,0.9941908717155457,0.00013492255270096875
17,1.6753634927528245,0.7593005895614624,379.4,1.3156269738288342,0.8896265625953674,0.9871369004249573,1.4574740523619276,0.9070539474487305,0.9946057796478271,0.00011850398814420521
18,1.5510668068946827,0.7505115270614624,379.7,1.3168693249651011,0.89336097240448,0.9883817434310913,1.4000328170808025,0.9099584817886353,0.9946057796478271,0.00010250036758126032
19,1.5640131041762375,0.781436026096344,381.4,1.31028107874621,0.8925310969352722,0.9900414943695068,1.3557885970317476,0.9099584817886353,0.9946057796478271,8.711294582623003e-05
20,1.544017040924657,0.7626023292541504,428.2,1.2992181085452004,0.8958505988121033,0.9908713698387146,1.3215051213735367,0.9103734493255615,0.9950207471847534,7.253522863567388e-05
21,1.5501569764954704,0.7692522406578064,395.4,1.2819030412499834,0.907468855381012,0.9896265268325806,1.2942991334867675,0.9112033247947693,0.9950207471847534,5.895053926145162e-05
22,1.5001062162752663,0.781436026096344,395.4,1.2708149029506193,0.9091286063194275,0.9917012453079224,1.2732258460333734,0.9124481081962585,0.9950207471847534,4.6529713054464576e-05
23,1.487742665534218,0.7805989384651184,395.0,1.2631942887523857,0.9066389799118042,0.9917012453079224,1.2568398678451158,0.9149377346038818,0.9954356551170349,3.542894911099683e-05
24,1.462010377663232,0.77734375,394.5,1.256873033353402,0.9095435738563538,0.9925311207771301,1.2447200033179953,0.9136929512023926,0.9954356551170349,2.578784597845066e-05
25,1.4185097633550565,0.7995721697807312,394.8,1.2579575989750906,0.9141078591346741,0.9933609962463379,1.2350198565676993,0.9136929512023926,0.9958506226539612,1.772764612261621e-05
26,1.474622652910295,0.7959914207458496,395.0,1.2544229311567126,0.9170124530792236,0.9933609962463379,1.2275366510098407,0.9141078591346741,0.9962655305862427,1.134971123331748e-05
27,1.4491986651860533,0.803338885307312,394.7,1.2519018042631664,0.9153527021408081,0.9933609962463379,1.2220063857517796,0.9145228266716003,0.9962655305862427,6.734247542351454e-06
28,1.434927926797952,0.782040536403656,394.8,1.2515814751510304,0.9153527021408081,0.9946057796478271,1.2181632861062204,0.9157676100730896,0.9962655305862427,3.939297183586391e-06
29,1.4549057355061883,0.7752510905265808,394.6,1.2521489570744304,0.9153527021408081,0.9937759041786194,1.2154234846597884,0.9153527021408081,0.996680498123169,3.0000082794518e-06
